#stream_file,packet_series_counter,packet_number,packet_time_relative,packet_tcp_stream,packet_header_data,packet_type,decryption_key_milliseconds,decryption_key_depth,decryption_key
ddpkg/stream21-failedlogin-marked.pcapng,4,42613,2566.084124000,89,671719bd8a21f52549df4cc9efeb3c33,login,,,
ddpkg/stream21-failedlogin-marked.pcapng,5,43497,2626.101646000,96,57c5de379149ae9b9981c7a70cbb576f,login,,,
ddpkg/stream21-failedlogin-marked.pcapng,0,12110,283.924994000,47,db61a024ea5534238f885ffbe7016766,game-select,2358,1716,UpcBd6XUHUcxbSSpwbqJDeiUE9A1rR2-
ddpkg/stream21-failedlogin-marked.pcapng,1,13940,471.878810000,63,ae107a8842c724afb3c8e01e7875b1b9,game-select,,,
ddpkg/stream21-failedlogin-marked.pcapng,2,14650,554.981669000,67,42b812c4cc46c754c4e340f81382d56c,game-select,,,
ddpkg/stream21-failedlogin-marked.pcapng,3,42723,2577.035384000,90,298e7c20c2dd6b6c975d4be9bf1874e0,game-select,,,
ddpkg/stream21-failedlogin-marked.pcapng,4,43604,2632.991292000,97,b32a913c704bc8cd84f7737f23d59b61,game-select,,,
ddpkg/stream21-failedlogin-marked.pcapng,0,12221,292.892680000,48,4d6f47edbde200ffcc46b65d5840d2f9,game,2358,2068,RcxtM29Bf-blLPmWpSH-knLb55WJbug_
ddpkg/stream21-failedlogin-marked.pcapng,1,14050,479.713353000,64,88cb3abc085056ee2d6b1e76b3fb24d4,game,,,
ddpkg/stream21-failedlogin-marked.pcapng,2,14760,562.928386000,68,c65b7948381a3b10185d82ef35041f3a,game,,,
ddpkg/stream21-failedlogin-marked.pcapng,3,42833,2584.505780000,91,2a01b9bc6c749af07cba4d6db79d4b7e,game,,,
ddpkg/stream21-failedlogin-marked.pcapng,4,43715,2643.227787000,98,c8c03068d7650deedb5d7f1be57280d8,game,,,
ddpkg/stream22-dress-unlock-controllerwalk-marked.pcapng,0,22,3.137597000,1,2979c6f33ad74db82b859bdb56a7a1c0,login,,,
ddpkg/stream22-dress-unlock-controllerwalk-marked.pcapng,1,2800,264.031405000,17,c107258ec7fe4149df56f2d3fad80250,login,,,
ddpkg/stream22-dress-unlock-controllerwalk-marked.pcapng,2,1669,202.004075000,9,0b24bea12e39115270cfc2c5b8b355fb,login,,,
ddpkg/stream22-dress-unlock-controllerwalk-marked.pcapng,0,1775,210.509816000,10,3a492de67e13b64e5de88a250f0839ee,game-select,,,
ddpkg/stream22-dress-unlock-controllerwalk-marked.pcapng,1,2907,273.517321000,18,36652beea2ab3b90560cadaf337d4519,game-select,,,
ddpkg/stream22-dress-unlock-controllerwalk-marked.pcapng,2,129,12.509591000,2,a6ab0d096c44938633f001691292a261,game-select,,,
ddpkg/stream22-dress-unlock-controllerwalk-marked.pcapng,0,1885,217.743306000,11,cb604fd3acb32c4e4a14bef0a230a9bf,game,,,
ddpkg/stream22-dress-unlock-controllerwalk-marked.pcapng,1,3017,281.053019000,19,def70b07a24a9e482d642f3120fbef91,game,,,
ddpkg/stream22-dress-unlock-controllerwalk-marked.pcapng,2,240,21.944139000,3,0431bb3d6633aabd45c8cd7a2a19ca00,game,,,
ddpkg/stream23-passportshop-orbtree3unlock-marked.pcapng,0,22,3.333894000,1,7a41b5fbd00b49742efc70d77ca39a6b,login,,,
ddpkg/stream23-passportshop-orbtree3unlock-marked.pcapng,1,297669,28874.820831000,113,97d7614f613bc4a1ef11bca40f4d65eb,login,,,
ddpkg/stream23-passportshop-orbtree3unlock-marked.pcapng,2,301077,29046.041311000,126,02876763fabfe08170d4544ec6fb7bab,login,,,
ddpkg/stream23-passportshop-orbtree3unlock-marked.pcapng,3,8918,571.609405000,45,727e4918482ada8526a836856c92a814,login,,,
ddpkg/stream23-passportshop-orbtree3unlock-marked.pcapng,4,1140,78.543732000,9,3eb426fb603bd8790e3605c13ac073bc,login,,,
ddpkg/stream23-passportshop-orbtree3unlock-marked.pcapng,0,1247,87.811601000,10,12f4a7453abb857185c8477eb1490eaf,game-select,,,
ddpkg/stream23-passportshop-orbtree3unlock-marked.pcapng,1,250072,23652.934543000,103,8bed6aafb3da668687848fce7471ce9b,game-select,,,
ddpkg/stream23-passportshop-orbtree3unlock-marked.pcapng,2,297778,28881.715442000,114,9e44c6d19d4893a4c32d4478c8d35793,game-select,,,
ddpkg/stream23-passportshop-orbtree3unlock-marked.pcapng,3,301190,29056.723405000,127,a0411d0639d3de95ff69d1df54396e97,game-select,,,
ddpkg/stream23-passportshop-orbtree3unlock-marked.pcapng,4,134,20.158385000,2,050a42d8ab627a860fffe784410aaf3e,game-select,,,
ddpkg/stream23-passportshop-orbtree3unlock-marked.pcapng,5,9023,579.807751000,46,bb441bb6054c135b1f87c731b172602f,game-select,,,
ddpkg/stream23-passportshop-orbtree3unlock-marked.pcapng,0,243063,22923.996389000,100,0ca4a6c34626e07709f39e5f39c9e435,game,,,
ddpkg/stream23-passportshop-orbtree3unlock-marked.pcapng,1,250184,23665.106690000,104,673cf9c9e8096a1ffea0d20949773b1a,game,,,
ddpkg/stream23-passportshop-orbtree3unlock-marked.pcapng,2,1357,97.245081000,11,38b305476982311805f347308265bf98,game,,,
ddpkg/stream23-passportshop-orbtree3unlock-marked.pcapng,3,297889,28890.047019000,115,648123107f14f827a9856140fb69129e,game,,,
ddpkg/stream23-passportshop-orbtree3unlock-marked.pcapng,4,301300,29063.889571000,128,a8dd7189b62b55d10f3b365ea258a7da,game,,,
ddpkg/stream23-passportshop-orbtree3unlock-marked.pcapng,5,244,29.223678000,3,e74fed0bc9fbef0648e26864129ce688,game,,,
ddpkg/stream23-passportshop-orbtree3unlock-marked.pcapng,6,9132,587.814763000,47,6a2777b3a1a6d91e84fe9dfef0c441ea,game,,,
ddpkg/stream24-marked.pcapng,0,7,0.429344000,0,1e8f2272ecccd9765932988e29a0a243,login,,,
ddpkg/stream24-marked.pcapng,1,3168,272.545469000,14,3cdc975c9919af8a163470b6413cb25a,login,,,
ddpkg/stream24-marked.pcapng,2,1159,87.972482000,7,f94da3d9198ae267895db1deea33926f,login,,,
ddpkg/stream24-marked.pcapng,0,120,13.910551000,1,9e4e3eb3a19510fdffd1d38d55a60ce6,game-select,,,
ddpkg/stream24-marked.pcapng,1,3276,281.007403000,15,616cade15e95636eb999b0b5d33a6ec6,game-select,,,
ddpkg/stream24-marked.pcapng,2,1266,95.998620000,8,92e0df4f1adb4911729b30c34fa33b88,game-select,,,
ddpkg/stream24-marked.pcapng,0,3384,288.300341000,16,bc7fbca0f8c71d95e472016a3ec98c14,game,,,
ddpkg/stream24-marked.pcapng,1,231,22.777750000,2,911fd0d7e8e998facbf25c631227b806,game,,,
ddpkg/stream24-marked.pcapng,2,1378,104.483536000,9,c1c9e16fba45772297780c7b9cec3432,game,,,
ddpkg/stream25-marked.pcapng,0,11996,158.718334000,45,82c3349ed24a8877efd7b88f0873657c,login,31245,281,NKsEw1f8RTgd5k2R3YwW8tzZpsV9U4I5
ddpkg/stream25-marked.pcapng,1,13172,223.835970000,53,02d056d8a1d14bcd2d69c105353ebcf4,login,,,
ddpkg/stream25-marked.pcapng,2,15577,380.912033000,69,0f6163030817617abad63900f1e3526f,login,,,
ddpkg/stream25-marked.pcapng,0,12107,170.404229000,46,48b805597f2de55e8d8042e4e14a6cd7,game-select,31245,1636,IN-UuOR7lqOCgwhFEA9IgW_Jk-9SG_aM
ddpkg/stream25-marked.pcapng,1,13280,231.433303000,54,e35e88a772a5235e7ed9e3b0c5b76288,game-select,,,
ddpkg/stream25-marked.pcapng,2,15685,388.411364000,70,73b9c0dc69366c644d47270b72e41995,game-select,,,
ddpkg/stream25-marked.pcapng,0,12217,178.281227000,47,1b7b58afd39a4387175138d38091d31c,game,31245,1974,tAQHONyo8dzas8bnHoiJveei3OBSvgRd
ddpkg/stream25-marked.pcapng,1,13392,240.373812000,55,faa2b8ae8e3ab51c4314f58d402792d2,game,,,
